           856          1708         0     
   5.79162E+00  -3.92251E+00  -4.86482E+00
   8.33272E+00  -4.80902E+00  -4.78454E+00
  -1.47385E+01  -3.72573E+00  -1.62498E+00
  -1.38384E+01  -2.41203E+00  -3.40104E+00
  -1.62283E+01  -2.58607E+00  -2.60075E+00
  -1.14235E+01   1.57323E+00  -4.14548E+00
  -4.52941E+00   7.06372E+00  -2.37220E+00
  -6.56613E-01   6.30976E+00  -2.73270E+00
   1.22425E+01   3.09155E+00  -5.92691E-01
   1.06430E+01   4.06288E+00   4.39820E-01
   9.80836E+00   1.87550E+00   3.55759E+00
  -5.48544E+00   5.09754E+00  -3.61139E+00
  -3.97632E+00   3.89438E+00  -4.48733E+00
  -7.79137E+00   3.99949E+00  -3.61365E+00
  -6.17946E+00   2.87656E+00  -4.51216E+00
   9.10119E+00   7.18195E-01  -4.64225E+00
   1.67659E+00  -4.54163E+00   3.62348E-01
   1.91225E+00  -3.79959E+00   2.66995E+00
  -8.67836E-01  -3.34984E+00   5.13291E-01
  -2.42444E+00  -3.19281E+00   2.38971E+00
   1.15035E+01  -1.52098E+00  -3.77183E+00
   9.20463E+00  -1.29043E+00  -4.94622E+00
   1.06221E+01  -5.75383E+00  -4.26729E+00
   2.19841E+00  -3.57925E+00  -3.60329E+00
  -7.89208E+00   6.35375E+00  -1.57825E+00
  -1.53100E+01  -5.86062E-01  -3.22682E+00
  -1.00636E+01  -3.73096E-01  -4.60222E+00
  -7.80623E+00  -1.30802E+00  -4.50494E+00
  -4.70697E+00  -1.48842E+00  -4.72125E+00
   1.42431E+01  -6.82674E+00  -5.26851E-01
   1.34656E+01  -3.77168E-01   1.72369E+00
  -1.15871E-01  -1.90421E+00  -5.01825E+00
  -1.64072E+00  -2.65532E+00  -3.62546E+00
   6.52891E-01  -1.50331E+00   4.62387E+00
   5.27229E+00  -5.87465E+00  -1.62691E+00
   3.71857E+00  -4.77717E+00  -2.61277E+00
  -1.40178E-01  -3.68912E+00  -2.60348E+00
   3.01286E+00  -2.40325E+00   4.32930E+00
  -8.73781E-01  -2.70317E+00   3.59292E+00
  -6.25463E+00  -2.79852E+00   2.58990E+00
   9.11223E+00   4.68446E+00   1.34342E+00
   5.99964E+00   3.87411E+00  -1.48595E+00
   7.44334E+00   2.71562E+00  -2.58763E+00
   9.78989E+00   3.12074E+00  -1.58916E+00
   1.33451E+01  -4.75051E+00  -3.15542E+00
   7.63190E+00   1.79434E+00   4.69642E+00
   4.52236E+00   4.29443E+00   2.56590E+00
   4.42533E+00  -4.86187E+00   2.62275E+00
   6.57793E+00  -5.00788E+00   3.75864E+00
  -6.24955E+00  -2.46263E+00  -3.47795E+00
   1.15335E+01   1.80805E+00  -2.75719E+00
  -1.22041E+01   4.60016E+00   1.25819E+00
  -1.02218E+01   5.50836E+00   6.65940E-01
  -2.31209E+00  -1.44060E+00   4.50469E+00
   7.57793E+00  -6.81979E+00   2.53871E+00
   6.06711E+00  -6.76343E+00   4.71318E-01
  -9.31290E+00   3.57270E+00   4.13658E+00
  -7.01364E+00   4.45148E+00   3.93717E+00
  -4.76369E+00   5.24575E+00   3.78725E+00
   3.46559E+00  -2.86715E+00  -4.90106E+00
  -3.21812E+00   6.20835E+00  -3.66265E+00
  -1.58182E+00   4.96020E+00  -4.45780E+00
  -1.27952E+01  -3.77168E-01  -4.15140E+00
  -1.74006E+01  -1.43278E-01   4.65573E-01
  -1.70753E+01  -2.76385E+00   4.40763E-01
  -8.54314E+00  -1.26040E+00   4.36717E+00
  -1.08331E+01  -4.78097E-01   4.89033E+00
  -1.32368E+01   7.52758E-01   4.63225E+00
  -5.48864E+00  -1.27218E+00   4.34823E+00
   1.21408E+01  -1.47403E+00   3.44468E+00
   1.27120E+01  -6.87470E+00   3.44859E+00
  -7.77811E+00  -3.34520E+00   1.54536E+00
  -6.24719E+00  -3.52469E+00  -5.56081E-01
  -9.31290E+00  -3.09619E+00  -2.06149E+00
  -1.00867E+01  -2.39472E+00   3.30925E+00
  -1.24221E+01   4.68672E+00  -5.90053E-01
  -1.45455E+01   3.54313E+00  -3.04974E-01
   9.76849E+00  -5.95479E+00   4.63026E+00
  -1.08802E+01   4.19937E+00   2.61425E+00
  -1.07310E+00   4.89707E+00   4.09832E+00
  -6.23041E+00   6.09305E+00   2.55183E+00
  -3.92994E+00   7.03139E+00   2.37738E+00
  -1.43249E+01   3.49272E+00   1.48172E+00
  -1.13903E+01   2.63999E+00   4.28868E+00
  -6.34339E+00   7.42890E+00  -5.89215E-01
  -1.60357E+01  -4.81895E-01   3.35646E+00
  -1.45353E+01   1.72672E+00   3.44666E+00
   2.06159E+00   3.88269E+00   3.47437E+00
   3.70785E+00   4.80409E+00   4.90344E-01
  -4.71164E+00  -3.31957E+00   1.38968E+00
   1.45067E+01  -2.59172E+00   1.50353E+00
  -1.61721E+01   1.78120E+00   1.44942E+00
  -1.54575E+01  -2.60220E+00   2.50545E+00
  -1.39342E+01  -3.68331E+00   1.49839E+00
  -1.31450E+01  -2.19899E+00   3.17492E+00
   1.13766E+01  -7.37697E+00  -2.68752E+00
  -2.41199E+00   6.17479E+00   3.50438E+00
   4.48415E+00  -3.65393E+00  -4.61192E+00
   5.24906E+00  -4.33910E+00  -4.23280E+00
   5.24906E+00  -3.24134E+00  -5.24483E+00
   6.75679E+00  -3.56167E+00  -5.27428E+00
   6.84368E+00  -4.67887E+00  -4.54595E+00
   6.00783E+00  -2.52651E+00  -5.65897E+00
   7.54832E+00  -4.15942E+00  -5.08194E+00
   5.84317E+00  -4.94643E+00  -3.80907E+00
   7.54832E+00  -5.34064E+00  -4.14748E+00
   8.32730E+00  -3.55385E+00  -5.30028E+00
   9.25005E+00  -5.69084E+00  -4.24904E+00
   9.85043E+00  -4.89024E+00  -4.80605E+00
   9.27066E+00  -3.90317E+00  -5.09503E+00
   8.24213E+00  -5.95339E+00  -3.71365E+00
  -1.61206E+01  -3.38301E+00  -1.43132E+00
  -1.52716E+01  -3.22742E+00  -2.41234E+00
  -1.39104E+01  -3.26388E+00  -2.49468E+00
  -1.46778E+01  -2.95894E+00  -2.95008E+00
  -1.31084E+01  -3.69983E+00  -1.59741E+00
  -1.39010E+01  -4.04753E+00  -5.37191E-01
  -1.55280E+01  -3.71365E+00  -5.52301E-01
  -1.47002E+01  -1.49915E+00  -3.63449E+00
  -1.31324E+01  -1.43109E+00  -3.96480E+00
  -1.31450E+01  -2.95862E+00  -2.94978E+00
  -1.52600E+01  -2.33544E+00  -3.14249E+00
  -1.23599E+01  -2.35686E+00  -3.41297E+00
  -1.66381E+01  -1.47050E+00  -2.44710E+00
  -1.58720E+01  -1.47050E+00  -3.15004E+00
  -1.70077E+01  -2.58206E+00  -1.57266E+00
  -1.08457E+01   2.24388E+00  -4.00272E+00
  -1.23965E+01   1.85663E+00  -3.68833E+00
  -1.22367E+01   4.89813E-01  -4.21667E+00
  -1.07496E+01   7.22209E-01  -4.52869E+00
  -1.01010E+01   1.73069E+00  -4.36139E+00
  -1.15852E+01   2.74991E+00  -3.35736E+00
  -5.42830E+00   6.39857E+00  -2.78025E+00
  -3.94797E+00   6.69122E+00  -3.05535E+00
  -3.25722E+00   7.38004E+00  -2.69076E+00
  -3.94797E+00   7.71873E+00  -1.97803E+00
  -5.50907E+00   7.38517E+00  -1.61188E+00
  -4.50596E+00   5.92154E+00  -3.39764E+00
  -4.52877E+00   7.87655E+00  -1.35466E+00
  -1.67601E+00   7.20954E+00  -2.61021E+00
  -2.93835E-01   5.68897E+00  -3.37595E+00
  -1.67447E-01   6.08366E+00  -1.58632E+00
  -1.06227E+00   7.05131E+00  -1.51926E+00
